,"neutral,""According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing ."""
2353,"neutral,`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market ."
2354,"neutral,`` There is no room to modify the share component as we have already indicated . ''"
2355,"neutral,`` We could be there ."
2356,"positive,`` We were the lowest bidders and now the final approval is awaited . ''"
2357,"neutral,""1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place ."""
2358,"neutral,""128,538 shares can still be subscribed for with Series E share options , max ."""
2359,"neutral,15 November 2010 - Finnish energy company Fortum Oyj HEL : FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland ."
2360,"neutral,""561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan ."""
2361,"neutral,""A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo ."""
2362,"neutral,A meeting of Glisten shareholders to vote on the bid will be held on 12 March ."
2363,"neutral,""A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-£801-£6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 ."""
2364,"neutral,""A spokesman said : `` The food store center , subject to council and local support , could comprise a supermarket or smaller store and other niche outlets , and this will be firmed up following consultation with the council and local community regarding appropriate uses and occupiers . ''"""
2365,"neutral,""A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch -‹ HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software ."""
2366,"neutral,A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent ."
2367,"neutral,""About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems ."""
2368,"neutral,""About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other ."""
2369,"neutral,Absolut Bank is exploring the possibility of further borrowing ."
2370,"neutral,Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards ."
2371,"positive,Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+Ænsi-Kalkkuna to produce turkey meat ."
2372,"neutral,Finnish food industry company L+Ænnen Tehtaat is planning changes to its fish product business ."
2373,"negative,Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 ."
2374,"neutral,Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors ."
2375,"neutral,""In Finland , Hamina Cargo Terminal , of Finnish Nurminen Logistics , has purchased a warehouse with ground lease rights in the Port of Hamina ."""
2376,"negative,""In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 ."""
2377,"neutral,""Member of the HK Ruokatalo Group in Finland , Scan , is launching a joint venture slaughterhouse with Team Ugglarp in Sk+_ne , southern Sweden ."""
2378,"neutral,""The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava ."""
2379,"negative,""According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high ."""
2380,"neutral,""According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom ."""
2381,"neutral,""According to CEO Hannu Syrj+Ænen , a new common name and visual identity is required as the group has grown and internationalised ."""
2382,"neutral,""According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 ."""
2383,"neutral,""According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 ."""
2384,"neutral,""According to Soosalu , particular attention was paid to residents privacy and security in the design of the Aleksandri Street building ."""
2385,"neutral,""According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however ."""
2386,"neutral,""According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest ."""
2387,"neutral,""According to the company , the lay-offs will be temporary ."""
2388,"neutral,""According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia ."""
2389,"neutral,""According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -“ s shares and voting rights ."""
2390,"neutral,""According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % ."""
2391,"neutral,After that the two companies sat down and sewed up the present deal ."
2392,"neutral,""After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation ."""
2393,"neutral,""Ahlstrom 's 5,800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents ."""
2394,"neutral,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki ."
2395,"neutral,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki ."
2396,"neutral,Airbus will attempt to evacuate up to 873 people within 90 seconds ."
2397,"neutral,""ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device ."""
2398,"neutral,All rights reserved ."
2399,"neutral,All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 ."
2400,"neutral,""Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees ."""
2401,"neutral,Almost the entire office building will be occupied by Metso ."
2402,"neutral,""Also , Westpac is to issue a benchmark , 18 month FRN deal in Euros ."""
2403,"neutral,Also the development of online businesses will continue ."
2404,"neutral,Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM ."
2405,"neutral,As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy ."
2406,"neutral,""As a result , a total of 82 employees would be given notice ."""
2407,"neutral,""As a result of the transaction , Sanoma Budapest has acquired a stake in the online store Egeszsegbolt ."""
2408,"neutral,""As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share ."""
2409,"negative,""As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 ."""
2410,"neutral,""As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''"""
2411,"neutral,""At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 ."""
2412,"neutral,at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 ."
2413,"neutral,""At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % ."""
2414,"neutral,""At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions ."""
2415,"neutral,Autotank Group is part of Aspo 's Systems Division ."
2416,"neutral,Basware Einvoices Oy will be merged into the parent company during the present fiscal period ."
2417,"neutral,""Because the application can be considered as a hacking application , it is classified by F-Secure as riskware ."""
2418,"neutral,""Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China ."""
2419,"negative,Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff ."
2420,"neutral,""Besides , Pit-Produkt will enter the new segments ."""
2421,"neutral,""Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 ."""
2422,"neutral,CapMan made its initial investment in OneMed in June 2006 ."
2423,"neutral,""CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value ."""
2424,"neutral,Catalysts segment includes refinery catalysts and polyolefin catalysts product categories ."
2425,"neutral,""Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey ."""
2426,"neutral,""Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively ."""
2427,"neutral,""Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height ."""
2428,"neutral,""Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros ."""
2429,"neutral,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited"
2430,"neutral,""Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space ."""
2431,"neutral,Currency conversions are based on exchange rates at the time of the deal ."
2432,"neutral,""Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China ."""
2433,"neutral,""Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments ."""
2434,"neutral,""Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. ."""
2435,"neutral,Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V ."
2436,"neutral,Each share is entitled to one vote ."
2437,"neutral,Each year the dividend is deducted from the subscription price ."
2438,"neutral,Earnings per share EPS amounted to EUR0 .01 ."
2439,"neutral,Earnings per share were EUR -0.04 -0.06 ."
2440,"neutral,Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers ."
2441,"neutral,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. ."
2442,"neutral,Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks ."
2443,"neutral,""Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 ."""
2444,"neutral,""Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system ."""
2445,"neutral,""Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group ."""
2446,"neutral,""Ethanol would be made from barley , and production could start in 2008 ."""
2447,"neutral,""EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications ."""
2448,"neutral,Exel is headquartered in Mantyharju in Finland ."
2449,"neutral,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga ."
2450,"neutral,Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !"
2451,"neutral,""Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement ."""
2452,"neutral,""FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions ."""
2453,"positive,""Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia ."""
2454,"neutral,Finnish Bank of +_land will launch its long-term pension savings account at the beginning of June 2010 ."
2455,"positive,Finnish food company Raisio Oyj HEL : RAIVV said today it will buy British snacks and confectionery company Big Bear Group plc for an enterprise value of EUR 95.3 million USD 129.9 m ."
2456,"neutral,Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September ."
2457,"neutral,""Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk ."""
2458,"neutral,""Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported ."""
2459,"neutral,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 ."
2460,"neutral,Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation ."
2461,"positive,""firm 28 October 2009 - Finnish lifting equipment maker Konecranes Oyj HEL : KCR1V said today it acquired US Machine Tool Solutions Unlimited in Cincinnati , Ohio , for an undisclosed sum ."""
2462,"neutral,""Following the issue , the new shares will constitute 10 percent of the firm 's capital ."""
2463,"neutral,""For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland ."""
2464,"neutral,""Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people ."""
2465,"neutral,""GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed ."""
2466,"neutral,""Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List ."""
2467,"neutral,Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 ."
2468,"positive,Growth is expected to continue in 2008 ."
2469,"neutral,GyPSii service supports ten different languages including Korean and Russian ."
2470,"neutral,He confirmed his view on July 6 ."
2471,"neutral,He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work ."
2472,"neutral,""HELSINKI AFX - Cargotec said it has bought a 95 pct stake in Indital Construction Machinery Ltd , a Bangalore-based company that makes fork lift trucks and mobile cranes , for an undisclosed sum ."""
2473,"neutral,""HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum ."""
2474,"neutral,""Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date ."""
2475,"neutral,""However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell ."""
2476,"neutral,""HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time ."""
2477,"neutral,""I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA ."""
2478,"neutral,""If Honkarakenne starts production there , it will need a partner for sawmill operations ."""
2479,"neutral,""In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements ."""
2480,"neutral,""In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections ."""
2481,"neutral,""In addition a reduction of nine persons will be made through pension or other arrangements , the company added ."""
2482,"neutral,""In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+Ærvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy ."""
2483,"neutral,""In future , the plant will focus on the production of flange profiles for wind farm towers ."""
2484,"neutral,In return the New York-based private equity firm will receive a 51 % stake in the Latvian IT and telecom group ."
2485,"neutral,""In the Baltic countries , Atria 's target is organic growth ."""
2486,"neutral,""Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 ."""
2487,"neutral,""India is high on our priority since business links between our two countries is also expanding , '' Tornstrom said ."""
2488,"neutral,IonPhasE 's second major owner is venture capital firm Aura Capital ."
2489,"neutral,""Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland ."""
2490,"neutral,It moved into the No. 2 spot in 2000 when it merged steel operations with Avesta Sheffield to form AvestaPolarit ."
2491,"neutral,""ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 ."""
2492,"neutral,""Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy ."""
2493,"positive,""Ixonos estimates that it will hire 20 specialists in mechanical engineering , electronics design , and R&D for its new unit in Jyvaeskylae by the end of 2009 ."""
2494,"neutral,""Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola ."""
2495,"neutral,""Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 ."""
2496,"neutral,""Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings ."""
2497,"neutral,Kemira 's partner in the project is St. Petersburg Water Works ."
2498,"neutral,Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products ."
2499,"neutral,KONE is listed on the Nordic Exchange in Helsinki ."
2500,"neutral,""L&T is operative in Finland , Sweden , Latvia , Russia and Norway ."""
2501,"neutral,""Last week , however , Nokia announced that it will pursue a long-term relationship with Microsoft , and make the Windows Phone 7 operating system the foundation for Nokia mobile phones ."""
2502,"neutral,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. ."
2503,"neutral,""LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council ."""
2504,"neutral,LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum ."
2505,"neutral,""China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country ."""
2506,"neutral,""Maximum amount of terminations in Finland is 40 employees , the company added ."""
2507,"neutral,Measures will be launched immediately and are due to be finalized in the first quarter of 2010 ."
2508,"neutral,""Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities ."""
2509,"neutral,Metso 's delivery will include a complete coated board line with related air systems and two winders ."
2510,"neutral,Mobile data transfer is expected to increase explosively in the LTE era ."
2511,"neutral,Most of the dividend will go to the Grimaldi family ."
2512,"neutral,""mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough ."""
2513,"positive,""M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 ."""
2514,"neutral,""M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '"""
2515,"neutral,""Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will transfer to Nastola , southern Finland , the production of its Jyvaskyla plant , which will affect 14 people ."""
2516,"neutral,Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply ."
2517,"neutral,Net investment income"
2518,"neutral,""no compensation for its news , opinions or distributions ."""
2519,"neutral,No financial details were available ."
2520,"neutral,No financial details were disclosed ."
2521,"neutral,No financial details were provided ."
2522,"neutral,No financial details were reported ."
2523,"neutral,No more waste-burning facilities should be built ."
2524,"neutral,""No price was given for the transaction , which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks ."""
2525,"neutral,No pricing details were disclosed ."
2526,"neutral,""Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work ."""
2527,"neutral,Nordea Bank Estonia is part of the largest financial group in the Nordic countries ."
2528,"neutral,""Of the company 's net sales , 38 % was acquired in Finland , 21 % in other European countries , 40 % in Asia , and 1 % in the US ."""
2529,"neutral,Officials did not disclose the contract value ."
2530,"neutral,""On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines ."""
2531,"neutral,""Only L+Ænnen Tehtaat showed a loss , but it has only recently started streamlining measures ."""
2532,"negative,Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 ."
2533,"positive,Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 ."
2534,"neutral,Otherwise the situation is under control ."
2535,"neutral,""Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein ."""
2536,"neutral,""Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein ."""
2537,"neutral,""Our in-depth expertise extends to the fields of energy , industry , urban & mobility and water & environment ."""
2538,"neutral,""Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for ."""
2539,"neutral,""Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 ."""
2540,"neutral,Payment of shares shall be effected on subscription ."
2541,"neutral,""PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 ."""
2542,"neutral,""Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors ."""
2543,"neutral,Poyry is a global expert in consulting and engineering ."
2544,"neutral,""POYRY PLC Additional information by : Heikki Malinen , President and CEO , Poyry PLC tel. +358 10 33 21307 Poyry is a global expert in consulting and engineering ."""
2545,"neutral,Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup ."
2546,"neutral,""Product deliveries will not be interrupted , the refiner said , giving no financial details ."""
2547,"neutral,Production is scheduled to start by the end of April 2007 ."
2548,"neutral,Protalix has $ 42 million in cash and no sales ."
2549,"neutral,Public services will also be available ."
2550,"neutral,""Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -_ Copyright of Globes Publisher Itonut 1983 Ltd. 2009"""
2551,"neutral,Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V ."
2552,"neutral,Raute is listed on the Nordic exchange in Helsinki ."
2553,"neutral,Registration is required ."
2554,"neutral,Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release ."
2555,"neutral,""rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila ."""
2556,"neutral,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway ."
2557,"neutral,""Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India ."""
2558,"neutral,Saunalahti is a part of the Elisa group ."
2559,"neutral,""says Brian Burton , Head of IT Security , Vodafone UK ."""
2560,"neutral,""Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company ."""
2561,"neutral,Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 ."
2562,"neutral,""Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ."""
2563,"neutral,Sponda Plc 's Annual General Meeting decided on 23 March 2005 to establish a Shareholders ' Nomination Committee to prepare proposals for the Annual General Meeting in 2006 on the composition of the Board of Directors and their remuneration ."
2564,"neutral,""SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena ."""
2565,"neutral,""SSH Communications Security Corporation is headquartered in Helsinki , Finland ."""
2566,"neutral,""SSH Communications Security Corporation is headquartered in Helsinki , Finland ."""
2567,"neutral,SSH Establishes New Global Sales and Marketing Group to be led by George Adams ; Adams Establishes Global Sales and Marketing Group to Drive Worldwide Programs Supporting SSH Tectia Enterprise Security Solutions"
2568,"neutral,Status : Agreed"
2569,"neutral,""Steek , which was set up in 2002 , is based in Bordeaux , southwestern France ."""
2570,"neutral,""STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com ."""
2571,"neutral,""Stora Enso , a global paper , packaging and wood products company , and Neste Oil , a Finnish company engaged in the refining and marketing of oil , have inaugurated the demonstration plant at Varkaus , Finland for biomass to liquids production utilizing forestry residues ."""
2572,"neutral,STUK today is a full service house expert in radiation and nuclear safety issues ."
2573,"neutral,""Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''"""
2574,"neutral,Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland ."
2575,"neutral,Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index ."
2576,"neutral,""Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks ."""
2577,"neutral,""Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % ."""
2578,"neutral,Teleste BK Optiflex amplifier products will be used in ongoing capacity upgrade of KDG 's network to bi-directionality ."
2579,"neutral,Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki ."
2580,"neutral,Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas ."
2581,"neutral,""The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught ."""
2582,"neutral,""The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+Ænnen Tehtaat 's other businesses ."""
2583,"neutral,The acquisition price was not disclosed ."
2584,"neutral,The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors ."
2585,"neutral,""The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier ."""
2586,"neutral,The Board of Directors was authorized to decide on other terms of the share issue ."
2587,"neutral,The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 ."
2588,"neutral,""The buildings , with about 40 condominiums each , will be built in 4 or 5 stages ."""
2589,"neutral,""The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania ."""
2590,"neutral,""The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal ."""
2591,"neutral,The capital structure of Solidium may be complemented by other financial instruments in the future ."
2592,"neutral,The category was marked by maturity and the recession ."
2593,"neutral,The chain is to unite 45-50 centres by the end of 2008 ."
2594,"neutral,The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki ."
2595,"neutral,""The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills ."""
2596,"neutral,""The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex ."""
2597,"neutral,""The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance ."""
2598,"neutral,The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 ."
2599,"neutral,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting ."
2600,"neutral,""The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets ."""
2601,"neutral,The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki ."
2602,"neutral,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS ."
2603,"neutral,""The company 's US subsidiary Vaisala Inc. acquires Aviation Systems Maintenance , Inc ASMI , a Kansas , U.S. based airport service company with over 2.6 million USD net sales in 2008 ."""
2604,"positive,The company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market ."
2605,"neutral,The company then said it will focus its resources on clinical research ."
2606,"neutral,The Company turnover amounted to MEUR 27.9 in 2007 ."
2607,"neutral,The company website is www.ahlstrom.com ."
2608,"neutral,The company will be part of Teleste 's Video and Broadband Solutions business area ."
2609,"neutral,""The company will publish its financial statement for 2008 on February 25 , 2009 ."""
2610,"neutral,The company will release its 2010 results on 11 February 2011 ."
2611,"neutral,""The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France ."""
